name,iau_moon_number,absolute_magnitude,albedo,color,coord_func,orbit_ascendingnode,orbit_eccentricity,orbit_epoch,orbit_inclination,orbit_longofpericenter,orbit_meanlongitude,orbit_period,orbit_semimajoraxis,parent,radius,rot_equator_ascending_node,rot_obliquity,rot_rotation_offset,rot_pole_ra,rot_pole_ra1,rot_pole_de,rot_pole_de1,rot_pole_w0,rot_pole_w1,tex_map,type,model,orbit_visualization_period,rot_periode,atmosphere,landscape,oblateness,rot_epoch,precessionrate,rotationperiod,normals_map,roughness,ring_inner_size,ring_outer_size,rings,tex_ring,minor_planet_number,halo,hidden
Rhea,SV,0.1,0.6,"1., 0.981, 0.942",rhea_special,,,,,,,,,Saturn,764.,,0.0,12.78,40.66,-0.036,83.52,-0.004,235.16,79.6900478,rhea.png,moon,,4.518,108.4200630,,,,,,,,,,,,,,,
Sao,NXI,,0.06,"1., 0.9, 0.75",ell_orbit,47.24035407294561,0.1428543008978792,2454619.50000,25.87467519239580,97.97933806,131.3325862,2908.415786162766,22194328.90318039,Neptune,44,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Saturn,,-8.88,0.50,"1.0, 0.955, 0.858",saturn_special,,,,,,,,,,60268,169.5291,28.049,358.922,40.589,-0.036,83.537,-0.004,38.90,810.7939024,saturn.png #texture courtesy of Bj\xf6rn J\xf3nsson,planet,,10760,10.65622,1,saturn,0.097962,,,,,,74510,140390,true,saturn_rings_radial.png #texture courtesy of Bj\xf6rn J\xf3nsson,,,
Sinope,JIX,11.6,0.04,"1., 0.9, 0.75",ell_orbit,337.3608948461959,0.1823445283881716,2454619.50000,153.0924984377859,334.0923761708530000,187.6932736301600000,778.6442493765837,24398256.25007371,Jupiter,40,213.7,15.5,14.9,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Sun,,4.83,-1.,"1.0, 0.98, 0.97",sun_special,,,,,,,,,none,696000.,196.13,7.25,,,,,,,,sun.png,star,,,654.61,,,,,,,,,,,,,,false,
Styx,PV,,0.56,,ell_orbit,227.3514962106030,0.02752939327739043,2457939.5,1.970282720825102,489.4487321111029,491.321816443564161,-21.12062061792411,43516.96054847804075659521,Pluto,16,,1.0,0.0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Tethys,SIII,0.6,0.8,"0.999, 1., 0.999",tethys_special,,,,,,,,,Saturn,529.8,,0.0,149.90,40.66,-0.036,83.52,-0.004,8.95,190.6979085,tethys.png,moon,,1.888,45.30726146,,,,,,,,,,,,,,,
Telesto,SXIII,9.1,1.0,"1., 0.9, 0.75",ell_orbit,169.6988011369972,0.0007669595997854121,2457939.5,0.5100950848629411,476.9749905125233,836.1816458328511,1.891633704039684,294971.1219627525906094737,Saturn,15,0,0,0,,,,,,,lune.png,moon,,,,,,,,,,,,,,,,,,
Thalassa,NIV,,0.06,"1., 0.9, 0.75",ell_orbit,8.252449171590964,0.001233476673632672,2454619.50000,0.3939461706648650,88.83462928,95.38740788,0.3122939125149857,50139.50414033412,Neptune,40,213.7,15.5,76.59,299.36,,43.45,,102.06,1155.7555612,lune.png,moon,,,7.4950539003596568,,,,,,,,,,,,,,,
Thebe,JXIV,9.0,0.047,"1., 0.9, 0.75",ell_orbit,138.9957928276344,0.01927638586266499,2454619.50000,1.088672216784552,210.7720658394820000,170.4877537965110000,0.6777043648601361,222412.7038632125,Jupiter,5,213.7,15.5,287.48,268.05,-0.009,64.49,0.003,8.56,533.7004100,lune.png,moon,,,16.2649047566432664,,,,,,,,,,,,,,,
Titan,SVI,-1.28,0.2,"1.0, 0.807, 0.453",titan_special,,,,,,,,,Saturn,2575.,186.6,0.6,321.00,39.4827,,83.4279,,186.5855,22.5769768,titan.png,moon,,15.945421,382.6907418,1,,,,,,,,,,,,,,
Titania,UIII,1.02,0.27,"1., 0.875, 0.779",titania_special,,,,,,,,,Uranus,788.9,,0.0,83.45,257.43,,-15.10,,77.74,-41.3514316,titania.png,moon,,8.706,-208.9407710,,,,,,,,,,,,,,,
Triton,NI,-1.24,0.756,"0.961, 1., 0.819",ell_orbit,182.2457333272747,0.00002183768753212363,2454619.500,156.8142264816462,287.0335999,300.6850407,5.877047441783914,354764.9656070134,Neptune,1352.6,287.6,1.0,341.01,299.36,,41.17,,,,triton.png,moon,,,-141.049138602813936,,,,,,,,,,,,,,,
Umbriel,UII,2.10,0.21,"1., 0.956, 0.956",umbriel_special,,,,,,,,,Uranus,584.7,,0.0,113.63,257.43,,-15.10,,108.05,-86.8688923,umbriel.png,moon,,4.144,-99.46022991,,,,,,,,,,,,,,,
Uranus,,-7.19,0.66,"0.837, 0.959, 1.",uranus_special,,,,,,,,,,25559,167.648649851261355,97.802249927257015,331.18,257.311,,-15.175,,203.81,-501.1600928,uranus.png,planet,,30685,-17.24,1,,0.022927,,,,,,26840,97700,true,uranus_rings.png #texture from Celestia,,,
Venus,,-5.18,0.77,"1., 0.96, 0.876",venus_special,,,,,,,,,,6051.8,300.22,178.78,137.45,272.76,,67.16,,160.20,-1.4813688,venus.png,planet,,224.70,-5832.479839,1,,,,,,,,,,,,,,
Earth Observer,,,0.,"0., 0., 0.",ell_orbit,0,0,2451545.0,43,0,90,100000000000,1000000,Earth,1.,,90,,,,,,,,,observer,,,,,,,,,,,,,,,,,false,true
Solar System Observer,,,0.,"0., 0., 0.",ell_orbit,0,0,2451545.0,90,0,90,70000000000,70000000000,,1.,,90,,,,,,,,,observer,,,,,,,,,,,,,,,,,false,true
