id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,lum,var,var_min,var_max
11,6686,8538,403,,37Del Cas,Ruchbah,1.430216,60.235283,30.4785,297.24,-49.49,7,2.66,0.24,A5Vv SB,0.16,14.082378,5.53413,26.457567,-0.00000685,0.0000445,0.00000258,0.374429587,1.051304016,1.44106E-06,-2.39934E-07,Del,37,Cas,1,6672,69.82324041,Del,2.666,2.656
12,7588,10144,472,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-0.00000584,0.00001738,-0.00001826,0.426355066,-0.998969869,4.26733E-07,-1.94313E-07,Alp,,Eri,1,7574,1051.961874,Alp,0.487,0.427
13,8903,11636,553,Gl 80,6Bet Ari,Sheratan,1.910668,20.808035,17.9856,96.32,-108.8,-4,2.64,1.365,A5V...,0.165,14.752622,8.063457,6.389157,-0.00000443,0.00000715,-0.00001032,0.500211742,0.363168722,4.66973E-07,-5.27477E-07,Bet,6,Ari,1,8884,24.77422058,,,
14,9640,12533,603,,57Gam1And,Almaak,2.064984,42.329725,120.4819,43.08,-50.85,-12,2.1,-3.305,B8V,1.37,76.368059,45.840864,81.131974,-0.00000358,0.0000272,-0.00003022,0.540611677,0.738793067,2.08858E-07,-2.46528E-07,Gam-1,57,And,1,9618,1828.100216,,,
15,9884,12929,617,Gl 84.3,13Alp Ari,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-0.00001649,0.00001173,-0.00001894,0.554898131,0.409496533,9.24685E-07,-7.06713E-07,Alp,13,Ari,1,9861,55.66727982,,,
16,10826,14386,681,,68Omi Cet,Mira,2.322442,-2.977643,91.659,10.33,-239.48,64,6.47,1.659,M5e-M9e,0.966,75.131148,52.288786,-4.761374,0.00004649,0.00003795,-0.00010967,0.608013998,-0.051969667,5.00813E-08,-1.16103E-06,Omi,68,Cet,1,10800,18.89731054,Omi,8.511,4.871
17,11767,8890,424,,1Alp UMi,Polaris,2.52975,89.264109,132.626,44.22,-11.74,-17,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-0.00001171,0.00002692,-0.00001748,0.662287075,1.557952613,2.14385E-07,-5.69171E-08,Alp,1,UMi,1,11734,2495.743795,Alp,1.993,1.953
18,12114,16160,753,Gl 105A,,268 G. Cet,2.601357,6.88687,7.1803,1806.27,1442.5,26,5.79,6.509,K3V,0.918,5.538462,4.488223,0.861013,-0.00002374,0.00006168,0.00005304,0.681033735,0.120198562,8.75704E-06,6.99344E-06,,,Cet,1,12082,0.216970155,,,
19,13847,18622,897,,The1Eri,Acamar,2.971023,-40.304672,49.4315,-53.53,25.71,12,2.88,-0.59,A4III+...,0.128,26.85749,26.453029,-31.974932,0.00001851,0.00000023,-0.00000324,0.777812118,-0.703449236,-2.59521E-07,1.24646E-07,The-1,,Eri,1,13813,149.9684836,,,
20,14135,18884,911,,92Alp Cet,Menkar,3.037992,4.089734,76.3942,-11.81,-78.76,-26,2.54,-1.875,M2III,1.63,53.342561,54.414384,5.448321,-0.00001399,-0.00002052,-0.00003099,0.795344514,0.071379323,-5.72565E-08,-3.81839E-07,Alp,92,Cet,1,14100,489.7788194,Alp,2.561,2.521
21,14576,19356,936,,26Bet Per,Algol,3.136148,40.955648,27.571,2.39,-1.44,4,2.09,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,0.00000196,0.00000257,0.00000254,0.821041501,0.714810898,1.1587E-08,-6.98132E-09,Bet,26,Per,1,14540,96.56060985,Bet,2.213,2.073
22,15510,20794,1008,Gl 139,,82 G. Eri,3.331944,-43.069784,6.0434,3038.08,726.34,86.7,4.26,5.354,G8V,0.711,2.839238,3.381499,-4.127499,-0.00001715,0.00011797,-0.00004501,0.872300799,-0.751709536,1.4729E-05,3.5214E-06,,,Eri,1,15471,0.628637088,,,
23,15863,20902,1017,,33Alp Per,Mirphak,3.405378,49.86118,155.2795,24.11,-26.01,-2,1.79,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-0.00000555,0.00002202,-0.00001419,0.891526004,0.870241752,1.16889E-07,-1.261E-07,Alp,33,Per,1,15824,4040.173354,,,
24,17702,23630,1165,,25Eta Tau,Alcyone,3.79141,24.105137,123.6094,19.35,-43.11,10,2.85,-2.61,B7III,-0.086,61.664507,94.489136,50.483636,0.00000116,0.00002299,-0.0000194,0.992588775,0.420714009,9.38114E-08,-2.09003E-07,Eta,25,Tau,1,17661,963.8290236,,,
25,18543,25025,1231,,34Gam Eri,Zaurak,3.967157,-13.508515,62.3441,60.51,-111.34,62,2.97,-1.004,M1IIIb Ca-1,1.588,30.760217,52.235828,-14.56308,0.00001154,0.00005563,-0.00004753,1.038599284,-0.235768069,2.93361E-07,-5.39792E-07,Gam,34,Eri,1,18497,219.5836501,Gam,3,2.95
26,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.203930811,0.288141666,3.04366E-07,-9.18043E-07,Alp,87,Tau,1,21368,163.2300073,Alp,0.888,0.858
27,23015,31398,1577,,3Iot Aur,Hassaleh,4.949894,33.16609,151.2859,3.63,-18.54,18,2.69,-3.209,K3IIvar,1.49,34.378539,121.884168,82.763748,0.00000364,0.00002271,-0.00000131,1.295879211,0.578857475,1.75987E-08,-8.98845E-08,Iot,3,Aur,1,22961,1673.400907,,,
28,23875,33111,1666,Wo 9175,67Bet Eri,Cursa,5.130829,-5.086446,27.3973,-83.39,-75.44,-9.2,2.78,0.591,A3IIIvar,0.161,6.156194,26.585876,-2.429001,0.00000848,-0.00001249,-0.00000915,1.343247953,-0.088775232,-4.04286E-07,-3.65743E-07,Bet,67,Eri,1,23820,50.53589948,,,
29,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-0.00009951,0.0001243,-0.00025439,1.359830239,-0.785719603,3.15422E-05,-2.77866E-05,,,Pic,1,24129,0.003808904,VZ,9.148,8.828
30,24436,34085,1713,,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.372430369,-0.143145631,9.06602E-09,-2.71496E-09,Bet,19,Ori,1,24378,51665.42426,,,
31,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816413,0.802816393,3.66131E-07,-2.07078E-06,Alp,13,Aur,1,24549,139.3156803,,,
32,25336,35468,1790,,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.418651834,0.11082321,-4.24212E-08,-6.43833E-08,Gam,24,Ori,1,25273,1152.391377,,,
33,25428,35497,1791,,112Bet Tau,Alnath,5.438198,28.60745,41.0509,23.28,-174.22,9,1.65,-1.417,B7III,-0.13,5.281578,35.6504,19.655456,-0.00000097,0.00002509,-0.00002603,1.423716809,0.499294192,1.12865E-07,-8.44642E-07,Bet,112,Tau,1,25364,321.2180934,,,
34,25606,36079,1829,,9Bet Lep,Nihal,5.470756,-20.759441,49.1642,-5.03,-85.92,-14,2.81,-0.648,G5II,0.807,6.349344,45.531613,-17.425966,-0.00000166,-0.00002061,-0.00001407,1.432240699,-0.362320595,-2.43861E-08,-4.16552E-07,Bet,9,Lep,1,25542,158.1976399,,,
35,25930,36486,1852,,34Del Ori,Mintaka,5.533445,-0.299092,212.3142,1.67,0.56,16,2.25,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,0.00000029,0.00001645,0.00000049,1.448652417,-0.00522014,8.09639E-09,2.71496E-09,Del,34,Ori,1,25865,4943.10687,Del,2.334,2.234
36,25985,36673,1865,,11Alp Lep,Arneb,5.545504,-17.822289,680.2721,3.27,1.54,24,2.58,-6.583,F0Ib,0.211,76.877195,643.047236,-208.208,-0.00000775,0.00002603,-0.00000268,1.451809652,-0.311057615,1.58534E-08,7.46613E-09,Alp,11,Lep,1,25920,37428.29122,,,
37,26241,37043,1899,,44Iot Ori,Hatsya,5.590551,-5.909901,714.2857,2.27,-0.62,22,2.75,-6.519,O9III,-0.21,76.014147,706.411475,-73.54604,-0.00000544,0.00002287,-0.00000445,1.463602742,-0.103147236,1.10053E-08,-3.00584E-09,Iot,44,Ori,1,26176,35285.80258,,,
38,26311,37128,1903,,46Eps Ori,Alnilam,5.603559,-1.20192,606.0606,1.49,-1.06,26,1.69,-7.223,B0Ia,-0.184,62.775122,602.66691,-12.712683,-0.00000161,0.00002683,-0.00000367,1.467008387,-0.020977458,7.22372E-09,-5.13903E-09,Eps,46,Ori,1,26246,67483.87309,Eps,1.717,1.667
39,26634,37795,1956,,Alp Col,Phakt,5.660817,-34.074108,80.1282,-0.1,-24.05,35,2.65,-1.869,B7IV,-0.12,5.885917,66.110037,-44.89318,0.0000022,0.00002432,-0.00002779,1.481998327,-0.594705371,-4.84814E-10,-1.16598E-07,Alp,,Col,1,26569,487.0796665,,,
40,26727,37742,1948,,50Zet Ori,Alnitak,5.679313,-1.942572,225.7336,3.99,2.54,18,1.74,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-0.0000028,0.00001879,0.00000215,1.486840687,-0.033904281,1.93441E-08,1.23143E-08,Zet,50,Ori,1,26662,8937.169609,,,
41,27366,38771,2004,,53Kap Ori,Saiph,5.795941,-9.669605,198.4127,1.55,-1.2,21,2.07,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-0.00000037,0.00002103,-0.00000475,1.517373893,-0.16876644,7.51461E-09,-5.81776E-09,Kap,53,Ori,1,27298,5095.654806,,,
42,27989,39801,2061,,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.549729118,0.129277632,1.325E-07,5.26508E-08,Alp,58,Ori,1,27919,13415.28798,Alp,0.571,0.281
43,28360,40183,2088,NN 3375,34Bet Aur,Menkalinan,5.992149,44.947433,24.8694,-56.41,-0.88,-19.4,1.9,-0.078,A2V,0.077,0.036195,17.601288,17.569058,0.00000677,-0.00001398,-0.00001409,1.568740945,0.784480691,-2.73483E-07,-4.26636E-09,Bet,34,Aur,1,28288,93.58365436,Bet,1.967,1.897
44,30089,44179,,,,Red Rectangle,6.332838,-10.637414,440.5286,-10.98,-21.1,0,8.85,0.63,B8,0.344,-37.678828,431.31548,-81.318571,0.00002408,-0.00000625,-0.00004429,1.657933057,-0.185657901,-5.32325E-08,-1.02296E-07,,,Mon,1,30016,48.75284901,V777,8.897,8.767
45,30324,44743,2294,,2Bet CMa,Mirzam,6.378329,-17.955918,151.0574,-3.45,-0.47,34,1.98,-3.916,B1II/III,-0.24,-14.209731,142.995999,-46.568852,-0.00000075,0.00003306,-0.00001105,1.669842696,-0.313389884,-1.67261E-08,-2.27862E-09,Bet,2,CMa,1,30251,3209.223768,Bet,1.999,1.969
46,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.0000114,0.00002059,-0.00001049,1.675305352,-0.919712775,9.69143E-08,1.14755E-07,Alp,,Car,1,30365,13854.79168,,-0.547,-0.667
47,31681,47105,2421,,24Gam Gem,Alhena,6.628528,16.399252,33.5121,-2.04,-66.92,-13,1.93,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,0.00000191,-0.0000095,-0.00001418,1.735344593,0.286220944,-9.8902E-09,-3.24437E-07,Gam,24,Gem,1,31601,165.3484012,,,
48,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.76779537,-0.291751259,-2.64713E-06,-5.92966E-06,Alp,9,CMa,1,32263,22.82443312,,-1.333,-1.523
49,33579,52089,2618,,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,2.63,2.29,27,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-0.00000781,0.00002362,-0.00001217,1.826599649,-0.505658252,1.27506E-08,1.11022E-08,Eps,21,CMa,1,33492,3375.981049,,,
50,34444,54605,2693,,25Del CMa,Wezen,7.139857,-26.3932,492.6108,-2.75,3.33,34,1.83,-6.633,F8Ia,0.671,-129.733458,421.761488,-218.979855,-0.00000392,0.00003508,-0.00000833,1.869210132,-0.460648234,-1.33324E-08,1.61443E-08,Del,25,CMa,1,34354,39192.23225,,,
51,35904,58350,2827,,31Eta CMa,Aludra,7.401584,-29.303104,609.7561,-3.76,6.66,41,2.45,-6.476,B5Ia,-0.083,-190.762166,496.337122,-298.432917,-0.0000062,0.00004711,-0.00000336,1.937730188,-0.511435637,-1.8229E-08,3.22886E-08,Eta,31,CMa,1,35806,33915.63869,Eta,2.509,2.409
52,36188,58715,2845,,3Bet CMi,Gomeisa,7.452512,8.289315,49.5786,-50.28,-38.45,22,2.89,-0.586,B8Vvar,-0.097,-18.209817,45.556204,7.147858,0.00000246,0.0000264,-0.0000059,1.951063059,0.144675847,-2.43764E-07,-1.86411E-07,Bet,3,CMi,1,36087,149.4169957,Bet,2.896,2.876
53,36208,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M5,1.573,-1.409549,3.514856,0.346358,-0.00001899,0.00001905,-0.00006612,1.952186962,0.091207157,2.7696E-06,-1.79102E-05,,,CMi,1,36107,0.001458814,,,
54,36850,60179,2891,Gl 278A,66Alp Gem,Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.98355827,0.556555413,-1.00032E-06,-7.18397E-07,Alp,66,Gem,1,36744,49.4310687,,,
55,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041,0.091193332,-3.47403E-06,-5.01579E-06,Alp,10,CMi,1,37173,7.440463662,,,
56,37826,62509,2990,Gl 286,78Bet Gem,Pollux,7.755277,28.026199,10.3584,-625.69,-45.95,3.6,1.16,1.084,K0IIIvar,0.991,-4.055465,8.19518,4.867171,0.00002624,0.00001782,-0.00000031,2.030326887,0.489149442,-3.03343E-06,-2.22772E-07,Bet,78,Gem,1,37718,32.09223768,,,
57,39429,66811,3165,,Zet Pup,Naos,8.059737,-40.003148,332.2259,-30.82,16.77,-24,2.21,-5.397,O5IAf,-0.269,-130.674899,218.376203,-213.564535,0.00004333,0.00002425,0.00003647,2.110034133,-0.698186638,-1.4942E-07,8.13033E-08,Zet,,Pup,1,39318,12554.51674,Zet,2.224,2.194
58,41037,71129,3307,,Eps Car,Avior,8.375236,-59.509483,185.5288,-25.34,22.72,2,1.86,-4.482,K3III+B2V,1.196,-54.83708,76.515238,-159.872623,0.00000766,0.00002843,0.00000861,2.192631676,-1.038636414,-1.22852E-07,1.1015E-07,Eps,,Car,1,40921,5405.053537,,,
59,45238,80007,3685,,Bet Car,Miaplacidus,9.220041,-69.717208,34.6981,-157.66,108.91,-5,1.67,-1.032,A2IV,0.07,-8.980712,8.001552,-32.546536,0.00000613,0.00003005,0.00001115,2.413801173,-1.216794819,-7.64357E-07,5.28011E-07,Bet,,Car,1,45106,225.3201336,,,
60,45556,80404,3699,,Iot Car,Tureis,9.284838,-59.275229,234.7418,-19.03,13.11,13,2.21,-4.643,A8Ib,0.189,-90.887872,78.251756,-201.791538,-0.00000074,0.00002921,-0.00000381,2.430764937,-1.034547914,-9.226E-08,6.35591E-08,Iot,,Car,1,45425,6269.024975,,,
61,46390,81797,3748,,30Alp Hya,Alphard,9.45979,-8.658603,55.2792,-14.49,33.25,-4,1.99,-1.723,K3III,1.44,-43.003468,33.722848,-8.322089,0.00000452,0.00000139,0.00000942,2.47656718,-0.151121122,-7.02495E-08,1.61201E-07,Alp,30,Hya,1,46259,425.7944536,,,
62,47908,84441,3873,,17Eps Leo,Ras Elased Australis,9.764188,23.774255,75.643,-46.09,-9.57,4,2.97,-1.424,G0II,0.808,-57.700126,38.244772,30.494289,0.00000504,0.00001694,-0.00000156,2.556258344,0.41493902,-2.23451E-07,-4.63967E-08,Eps,17,Leo,1,47772,323.2957534,,,
63,49669,87901,3982,,32Alp Leo,Regulus,10.139532,11.967207,24.3132,-249.4,4.91,6,1.36,-0.569,B7V,-0.087,-21.018857,11.132218,5.041397,0.00000856,0.00002873,0.00000184,2.654523172,0.208867165,-1.20913E-06,2.38044E-08,Alp,32,Leo,1,49528,147.0957077,,,
64,50583,89484,4057,,41Gam1Leo,Algieba,10.332873,19.841489,39.8883,310.77,-152.88,-37,2.01,-0.994,K0III,1.128,-34.002797,15.860719,13.53874,-0.00000224,-0.00006526,-0.00004065,2.705139837,0.346299306,1.50666E-06,-7.41183E-07,Gam-1,41,Leo,1,50440,217.5704951,,,
65,53910,95418,4295,Wo 9343,48Bet UMa,Merak,11.030677,56.382427,24.4499,81.66,33.74,-12,2.34,0.399,A1V,0.033,-13.103033,3.398358,20.360601,0.00000737,-0.00001191,-0.00000801,2.887824569,0.984058986,3.95899E-07,1.63576E-07,Bet,48,UMa,1,53754,60.31148196,,,
66,54035,95735,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,0.00003587,-0.00000166,-0.00009828,2.894357577,0.627792793,-2.81289E-06,-2.31115E-05,,,UMa,1,53879,0.005701643,,,
67,54061,95689,4301,,50Alp UMa,Dubhe,11.062155,61.751033,37.679,-136.46,-35.25,-9,1.81,-1.07,F7V comp,1.061,-17.298705,4.33488,33.191332,0.00000478,0.0000245,-0.00001116,2.89606535,1.077758845,-6.61577E-07,-1.70897E-07,Alp,50,UMa,1,53905,233.3458062,,,
68,54872,97603,4357,Gl 419,68Del Leo,Zosma,11.235138,20.523717,17.9147,143.31,-130.43,-20.2,2.56,1.294,A4V,0.128,-16.442201,3.337108,6.280742,0.00001259,-0.00001526,-0.00001785,2.941352165,0.358206432,6.94786E-07,-6.32342E-07,Del,68,Leo,1,54712,26.44843627,,,
69,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,14.57206,10.9999,-499.02,-113.78,-0.2,2.14,1.933,A3Vvar,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856966,0.25433043,-2.41932E-06,-5.51621E-07,Bet,94,Leo,1,57459,14.68249968,,,
70,57939,103095,4550,Gl 451A,,Groombridge 1830,11.88282,37.718679,9.0917,4003.69,-5813,-99.1,6.42,6.627,G8Vp,0.754,-7.187679,0.220247,5.561623,-0.00008204,-0.00017401,-0.00026465,3.110914983,0.658315145,1.94104E-05,-2.81822E-05,,,UMa,1,57767,0.194625616,CF,6.546,6.406
71,58001,103287,4554,,64Gam UMa,Phad,11.897168,53.69476,25.5037,107.76,11.16,-13,2.41,0.377,A0V SB,0.044,-15.094867,0.406425,20.552678,0.00000862,-0.00001356,-0.0000099,3.114671245,0.937150353,5.22435E-07,5.41052E-08,Gam,64,UMa,1,57828,61.54602374,,,
72,59774,106591,4660,Gl 459,69Del UMa,Megrez,12.257086,57.032617,24.6853,103.56,7.81,-13.4,3.32,1.358,A3Vvar,0.077,-13.402309,-0.903455,20.710384,0.00000906,-0.00001181,-0.00001099,3.208897599,0.995406944,5.02073E-07,3.78639E-08,Del,69,UMa,1,59592,24.93446188,,,
73,59803,106625,4662,,4Gam Crv,Gienah Ghurab,12.263437,-17.541929,47.1032,-159.58,22.31,-4,2.58,-0.785,B8III,-0.107,-44.805937,-3.095058,-14.197066,-0.00000015,0.00003652,0.00000609,3.210560407,-0.306164426,-7.73666E-07,1.08162E-07,Gam,4,Crv,1,59621,179.4733627,,,
74,60718,108248,4730,,Alp1Cru,Acrux,12.443311,-63.099092,98.7167,-35.37,-14.73,-11,0.77,-4.202,B0.5IV,-0.243,-44.363755,-5.171957,-88.034513,0.00000934,0.00001813,0.00000684,3.257651282,-1.101286903,-1.71479E-07,-7.14131E-08,Alp-1,,Cru,1,60530,4176.37993,,,
75,60936,,,,,3C 273,12.485193,2.052398,100000,-11.01,4.38,0,12.88,-7.12,,0.12,-99130.70606,-12660.05862,3581.344963,-0.00060072,0.00530397,0.00212194,3.268615816,0.03582111,-5.3378E-08,2.12348E-08,,,,1,60731,61376.20052,,13.034,12.694
76,60965,108767,4757,,7Del Crv,Algorab,12.497739,-16.515432,26.6312,-209.97,-139.3,9,2.94,0.813,B9.5V,-0.012,-25.316094,-3.317674,-7.57057,-0.0000072,0.00002639,-0.00001986,3.271900435,-0.288248674,-1.01796E-06,-6.75345E-07,Del,7,Crv,1,60776,41.19077849,,,
77,61084,108903,4763,,Gam Cru,Gacrux,12.519429,-57.113212,27.1518,27.94,-264.33,21,1.59,-0.579,M4III,1.6,-14.606901,-1.998688,-22.800748,0.00001789,-0.00000126,-0.00003693,3.277578929,-0.996813589,1.35457E-07,-1.28151E-06,Gam,,Cru,1,60893,148.4567675,,,
78,61359,109379,4786,,9Bet Crv,Kraz,12.573121,-23.396759,44.6628,0.86,-56,-8,2.65,-0.6,G5II,0.893,-40.529889,-6.127261,-17.73539,0.00001221,0.00000166,-0.00000788,3.2916353,-0.408350481,4.1694E-09,-2.71496E-07,Bet,9,Crv,1,61166,151.3561248,,,
79,61941,110379,4825,Gl 482A,29Gam Vir,Porrima,12.694345,-1.449375,11.685,-616.66,60.66,-19.9,2.74,2.402,F0V+...,0.368,-11.488622,-2.111702,-0.295552,0.00001361,0.00003802,0.00000395,3.323371774,-0.025296363,-2.98965E-06,2.94088E-07,Gam,29,Vir,1,61748,9.532350439,,,
80,62434,111123,4853,,Bet Cru,Becrux,12.795359,-59.688764,85.3971,-48.24,-12.82,16,1.25,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,-0.00000773,0.00001878,-0.00001681,3.349817027,-1.04176545,-2.33874E-07,-6.21531E-08,Bet,,Cru,1,62239,2008.167804,Bet,1.267,1.237
81,62956,112185,4905,,77Eps UMa,Alioth,12.900472,55.959821,25.31,111.74,-8.99,-9,1.76,-0.256,A0p,-0.022,-13.775959,-3.309169,20.972944,0.00000732,-0.00001234,-0.00000824,3.37733559,0.976683127,5.41731E-07,-4.35847E-08,Eps,77,UMa,1,62757,110.2554332,Eps,1.776,1.746
