id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,lum,var,var_min,var_max
100,77070,140573,5854,Gl 596.2,24Alp Ser,Unukalhai,15.737798,6.425627,22.6757,134.66,44.14,2.7,2.63,0.852,K2III,1.167,-12.5786,-18.695648,2.537718,0.00001105,-0.00001009,0.00000513,4.120145986,0.112148346,6.5285E-07,2.13997E-07,Alp,24,Ser,1,76835,39.73745051,,,
101,78401,143275,5953,,7Del Sco,Dschubba,16.005557,-22.62171,150.6024,-8.67,-36.9,-7,2.29,-3.599,B0.2IV,-0.117,-69.332609,-120.492107,-57.928452,0.00000298,0.00001787,-0.00002211,4.190245125,-0.394823319,-4.20333E-08,-1.78896E-07,Del,7,Sco,1,78165,2396.624529,Del,2.299,2.279
102,78820,144217,5984,,8Bet1Sco,Graffias,16.09062,-19.805453,123.9157,-6.75,-24.89,-1,2.56,-2.906,B0.5V,-0.065,-55.881427,-102.320756,-41.98604,-0.00000067,0.00000723,-0.00001372,4.212514383,-0.34567037,-3.27249E-08,-1.2067E-07,Bet-1,8,Sco,1,78580,1265.901749,,,
103,80763,148478,6134,,21Alp Sco,Antares,16.490128,-26.432002,169.7793,-10.16,-23.21,-3,1.06,-5.089,M1Ib + B2.5V,1.865,-58.542602,-140.307591,-75.574766,-0.00000338,0.0000136,-0.00001574,4.317105466,-0.461325471,-4.92571E-08,-1.12525E-07,Alp,21,Sco,1,80519,9453.66046,Alp,1.155,0.995
104,80816,148856,6148,,27Bet Her,Kornephoros,16.503668,21.489613,42.6621,-98.43,-14.49,-26,2.78,-0.37,G8III,0.947,-15.155861,-36.689058,15.62843,-0.00000979,0.00002963,-0.00001253,4.320650131,0.375064505,-4.77202E-07,-7.02495E-08,Bet,27,Her,1,80571,122.4616199,,,
105,82273,150798,6217,,Alp TrA,Atria,16.811077,-69.027715,119.7605,17.85,-32.92,-3,1.91,-3.482,K2IIb-IIIa,1.447,-13.127447,-40.804561,-111.826781,0.00001567,0.00001486,-0.00000398,4.401129586,-1.204760901,8.65392E-08,-1.59601E-07,Alp,,TrA,1,82022,2151.79057,,,
106,84345,156014,6406,,64Alp1Her,Rasalgethi,17.244127,14.390333,110.2536,-6.71,32.78,-33,2.78,-2.432,M5IIvar,1.164,-20.995512,-104.709944,27.400863,0.00000377,0.00003703,0.00000858,4.514501981,0.251158688,-3.2531E-08,1.58922E-07,Alp-1,64,Her,1,84086,818.0879579,Alp,2.967,2.567
107,85670,159181,6536,,23Bet Dra,Rastaban,17.507213,52.301387,116.5501,-15.59,11.57,-20,2.79,-2.543,G2II,0.954,-9.169333,-70.678899,92.218765,-0.00000646,0.00001867,-0.00001219,4.583377712,0.912831407,-7.55825E-08,5.60929E-08,Bet,23,Dra,1,85410,906.1498022,,,
108,85927,158926,6527,,35Lam Sco,Shaula,17.560145,-37.103821,175.1313,-8.9,-29.95,-3,1.62,-4.597,B1.5IV+...,-0.231,-16.048583,-138.749793,-105.649898,-0.00000546,0.00001854,-0.00001843,4.597235152,-0.647583843,-4.31484E-08,-1.45202E-07,Lam,35,Sco,1,85665,6008.969505,Lam,1.656,1.596
109,86032,159561,6556,Gl 681,55Alp Oph,Rasalhague,17.582241,12.560035,14.8965,110.08,-222.61,12.6,2.08,1.215,A5III,0.155,-1.587067,-14.453242,3.239454,0.00000615,-0.00001685,-0.00001289,4.603020023,0.219213961,5.33683E-07,-1.07924E-06,Alp,55,Oph,1,85769,28.44461107,,,
110,86228,159532,6553,,The Sco,Sargas,17.62198,-42.997824,92.081,6.06,-0.95,1,1.86,-2.961,F1II,0.406,-6.654055,-67.016643,-62.796539,0.00000265,-0.00000072,-0.00000101,4.613423665,-0.750453596,2.93797E-08,-4.60573E-09,The,,Sco,1,85965,1331.680376,,,
111,86742,161096,6603,,60Bet Oph,Cebalrai,17.724543,4.567303,25.0941,-40.67,158.8,-12,2.76,0.762,K2III,1.168,-1.802333,-24.949291,1.998237,-0.00000394,0.00001409,0.00001828,4.640274383,0.079714471,-1.97174E-07,7.69884E-07,Bet,60,Oph,1,86475,43.17178445,,,
112,87833,164058,6705,,33Gam Dra,Etamin,17.943437,51.488895,47.3037,-8.52,-23.05,-28,2.24,-1.134,K5III,1.521,-0.436154,-29.451035,37.014357,-0.00000175,0.00001372,-0.0000257,4.697580792,0.898650744,-4.13061E-08,-1.1175E-07,Gam,33,Dra,1,87561,247.5141318,,,
113,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111,9.54,13.235,sdM4,1.57,-0.017373,-1.816613,0.149123,-0.00000591,0.0001204,0.00007888,4.702826032,0.081915079,-3.86804E-06,5.00664E-05,,,Oph,1,87665,0.000442588,V2500,9.59,9.49
114,88635,165135,6746,,10Gam2Sgr,Nash,18.096803,-30.424091,29.7,-55.75,-181.53,22,2.98,0.616,K0III,0.981,0.648969,-25.602281,-15.040072,-0.00000787,-0.00000637,-0.00003393,4.737732034,-0.531000564,-2.70284E-07,-8.80082E-07,Gam-2,10,Sgr,1,88361,49.38556196,,,
115,89931,168454,6859,,19Del Sgr,Kaus Meridionalis,18.3499,-29.828103,106.6098,29.96,-26.38,-20,2.72,-2.419,K3III,1.38,8.460232,-92.098382,-53.027575,0.00001318,0.00002584,-0.00000165,4.803992513,-0.52059861,1.4525E-07,-1.27894E-07,Del,19,Sgr,1,89653,808.3510374,,,
116,90185,169022,6879,,20Eps Sgr,Kaus Australis,18.402868,-34.384616,43.9367,-39.61,-124.05,-15,1.79,-1.424,B9.5III,-0.031,3.817188,-36.057831,-24.812975,-0.00001129,0.00002654,-0.00001314,4.817859453,-0.600124762,-1.92035E-07,-6.01411E-07,Eps,20,Sgr,1,89906,323.2957534,,,
117,90496,169916,6913,Gl 713.1,22Lam Sgr,Kaus Borealis,18.466179,-25.4217,23.9693,-44.81,-186.29,-43.2,2.82,0.922,K1IIIb,1.025,2.635486,-21.487046,-10.289309,-0.00001116,0.0000482,-0.00000058,4.834434275,-0.443692368,-2.17245E-07,-9.03159E-07,Lam,22,Sgr,1,90217,37.25632385,,,
118,91262,172167,7001,Gl 721,3Alp Lyr,Vega,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.873563096,0.676903116,9.74572E-07,1.39365E-06,Alp,3,Lyr,1,90979,49.93441887,,,
119,92420,174638,7106,,10Bet Lyr,Sheliak,18.834665,33.362667,294.9853,1.1,-4.46,-19,3.52,-3.829,A8:V comp SB,0.003,53.40884,-240.514817,162.223134,-0.00000122,0.00001276,-0.00001601,4.930903799,0.582288386,5.33295E-09,-2.16227E-08,Bet,10,Lyr,1,92133,2962.101936,Bet,4.259,3.329
120,92855,175191,7121,,34Sig Sgr,Nunki,18.92109,-26.296722,69.8324,13.87,-52.65,-11,2.05,-2.17,B2.5V,-0.134,14.950858,-60.794062,-30.937099,0.00000027,0.00001858,-0.000011,4.953529829,-0.458964384,6.72437E-08,-2.55254E-07,Sig,34,Sgr,1,92564,642.6877173,,,
121,94141,178524,7264,,41Pi  Sgr,Albaldah,19.162731,-21.023615,156.25,-1.17,-36.83,-10,2.88,-3.089,F2II/III,0.377,43.714239,-139.143552,-56.055078,-0.00000671,0.00001839,-0.00002237,5.016791345,-0.366931299,-5.67232E-09,-1.78557E-07,Pi,41,Sgr,1,93846,1498.304211,,,
122,95947,183912,7417,,6Bet1Cyg,Albireo,19.512023,27.959681,133.1558,-7.09,-5.63,-24,3.05,-2.572,K3II+...,1.088,45.350466,-108.51838,62.430012,-0.00001193,0.00001667,-0.00001472,5.108235547,0.487988492,-3.43733E-08,-2.7295E-08,Bet-1,6,Cyg,1,95648,930.6791832,,,
123,96295,184738,,,,Campbell's Hydrogen Star,19.579231,30.516371,100000,-4.16,-10.19,-30.4,10,-10,WC...,-0.013,34611.2841,-78889.8449,50778.45341,-0.00084972,-0.00308271,-0.00427137,5.125830766,0.532611152,-2.01682E-08,-4.94025E-08,,,Cyg,1,95992,870963.59,V1966,10.048,9.938
124,97278,186791,7525,,50Gam Aql,Tarazed,19.770994,10.613261,121.0654,15.72,-3.08,-2,2.72,-2.695,K3II,1.507,53.215608,-106.431852,22.297682,0.0000075,0.00000563,-0.00000215,5.176034186,0.185236351,7.62127E-08,-1.49323E-08,Gam,50,Aql,1,96970,1042.317429,,,
125,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772106,0.154781417,2.60258E-06,1.86915E-06,Alp,53,Aql,1,97338,11.37627286,Alp,0.803,0.753
126,98036,188512,7602,Gl 771A,60Bet Aql,Alshain,19.921887,6.406763,13.6986,46.35,-481.32,-40.7,3.71,3.027,G8IVvar,0.855,6.563854,-11.925647,1.528534,-0.00001553,0.0000346,-0.00003641,5.215537811,0.111819116,2.24711E-07,-2.33351E-06,Bet,60,Aql,1,97725,5.360434578,,,
127,98298,226868,,,,Cygnus X-1,19.972688,35.201604,595.2381,-3.82,-7.62,-2.7,8.84,-0.033,B0Ib,0.73,240.17499,-422.950898,343.12808,-0.00000444,-0.0000145,-0.00001956,5.228837433,0.614383894,-1.85199E-08,-3.69428E-08,,,Cyg,1,97987,89.78421709,V1357,8.883,8.793
128,100453,194093,7796,,37Gam Cyg,Sadr,20.370473,40.256679,561.7978,2.43,-0.93,-8,2.23,-6.518,F8Ib,0.673,249.318228,-348.795593,363.040966,0.0000027,0.0000076,-0.00000722,5.332977255,0.702611598,1.1781E-08,-4.50877E-09,Gam,37,Cyg,1,100128,35253.31812,,,
129,100751,193924,7790,,Alp Pav,Peacock,20.427459,-56.73509,54.8246,7.71,-86.15,2,1.94,-1.755,B2IV,-0.118,17.850262,-24.200974,-45.841245,-0.00000905,0.00001572,-0.00001427,5.347896379,-0.990214122,3.73791E-08,-4.17667E-07,Alp,,Pav,1,100425,438.5306978,,,
